Country Name,Country Code,Year,Year Code,POP.TOT,POP.MALE,POP.FEMALE,MED.BEDS,MED.PHYS
Italy,ITA,1970,YR1970,53821850,26220385,27601465,10.6000003814697,..
Italy,ITA,1971,YR1971,54073490,26345988,27727502,10.6000003814697,..
Italy,ITA,1972,YR1972,54381345,26496979,27884366,10.6000003814697,..
Italy,ITA,1973,YR1973,54751406,26675895,28075511,10.5,..
Italy,ITA,1974,YR1974,55110868,26846847,28264021,10.6000003814697,..
Italy,ITA,1975,YR1975,55441001,27000605,28440396,10.6000003814697,..
Italy,ITA,1976,YR1976,55718260,27125072,28593188,10.3999996185303,..
Italy,ITA,1977,YR1977,55955411,27227016,28728395,10.3000001907349,..
Italy,ITA,1978,YR1978,56155143,27310369,28844774,10,..
Italy,ITA,1979,YR1979,56317749,27378786,28938963,9.80000019073486,..
Italy,ITA,1980,YR1980,56433883,27430104,29003779,9.60000038146973,..
Italy,ITA,1981,YR1981,56501675,27464587,29037088,9.39999961853027,..
Italy,ITA,1982,YR1982,56543548,27492007,29051541,9.10000038146973,..
Italy,ITA,1983,YR1983,56564074,27511834,29052240,8.89999961853027,..
Italy,ITA,1984,YR1984,56576718,27526662,29050056,8.5,..
Italy,ITA,1985,YR1985,56593071,27539294,29053777,8.30000019073486,..
Italy,ITA,1986,YR1986,56596155,27540510,29055645,8,..
Italy,ITA,1987,YR1987,56601931,27538934,29062997,7.80000019073486,..
Italy,ITA,1988,YR1988,56629288,27544966,29084322,7.5,..
Italy,ITA,1989,YR1989,56671781,27557411,29114370,7.09999990463257,..
Italy,ITA,1990,YR1990,56719240,27572699,29146541,7.1999998093,..
Italy,ITA,1991,YR1991,56758521,27585278,29173243,6.8000001907,..
Italy,ITA,1992,YR1992,56797087,27598268,29198819,6.9000000954,..
Italy,ITA,1993,YR1993,56831821,27608689,29223132,6.6999998093,3.8
Italy,ITA,1994,YR1994,56843400,27605040,29238360,6.5999999046,3.7
Italy,ITA,1995,YR1995,56844303,27592154,29252149,6.3000001907,3.9
Italy,ITA,1996,YR1996,56860281,27581012,29279269,6.5,4.1
Italy,ITA,1997,YR1997,56890372,27572362,29318010,5.9000000954,4
Italy,ITA,1998,YR1998,56906744,27557541,29349203,5.5,4.1
Italy,ITA,1999,YR1999,56916317,27546715,29369602,4.9000000954,4.2
Italy,ITA,2000,YR2000,56942108,27555561,29386547,4.7,4.2
Italy,ITA,2001,YR2001,56974100,27582192,29391908,4.6,4.4
Italy,ITA,2002,YR2002,57059007,27646545,29412462,4.4,4.4
Italy,ITA,2003,YR2003,57313203,27797298,29515905,4.2,4.1
Italy,ITA,2004,YR2004,57685327,27998963,29686364,4,4.203
Italy,ITA,2005,YR2005,57969484,28144391,29825093,4,..
Italy,ITA,2006,YR2006,58143979,28219926,29924053,3.9,3.7
Italy,ITA,2007,YR2007,58438310,28340310,30098000,3.8,..
Italy,ITA,2008,YR2008,58826731,28499993,30326738,3.7,4.242
Italy,ITA,2009,YR2009,59095365,28605773,30489592,3.6,3.802
Italy,ITA,2010,YR2010,59277417,28681402,30596015,3.6,..
Italy,ITA,2011,YR2011,59379449,28732398,30647051,3.5,..
Italy,ITA,2012,YR2012,59539717,28822965,30716752,3.4,3.8608
Italy,ITA,2013,YR2013,60233948,29180255,31053693,..,3.9371
Italy,ITA,2014,YR2014,60789140,29473355,31315785,..,3.9588
Italy,ITA,2015,YR2015,60730582,29467922,31262660,..,3.9174
Italy,ITA,2016,YR2016,60627498,29438983,31188515,..,4.0323
Italy,ITA,2017,YR2017,60536709,29415238,31121471,..,4.0931
Italy,ITA,2018,YR2018,60431283,29383702,31047581,..,..
Italy,ITA,2019,YR2019,..,..,..,..,..
