year,month,population_start,births,deaths,sum_natural,registered,deleted,sum_migration,territorial_variations,population_end,info
2019,Gennaio,60359546,39935,68209,-28274,160346,160398,-52,0,60331220,
2019,Febbraio,60331220,32390,59876,-27486,149867,142983,6884,0,60310618,
2019,Marzo,60310618,33362,57882,-24520,155976,151597,4379,0,60290477,
2019,Aprile,60290477,31707,52027,-20320,143215,131225,11990,0,60282147,
2019,Maggio,60282147,35816,53187,-17371,152380,139533,12847,0,60277623,
2019,Giugno,60277623,33003,47563,-14560,130219,131449,-1230,0,60261833,
2019,Luglio,60261833,39160,51507,-12347,149865,143336,6529,0,60256015,
2019,Agosto,60256015,37953,49614,-11661,132524,123021,9503,0,60253857,
2019,Settembre,60253857,38313,47267,-8954,145620,144111,1509,0,60246412,
2019,Ottobre,60246412,40917,52452,-11535,172516,163987,8529,0,60243406,
2019,Novembre,60243406,35943,50865,-14922,152563,142525,10038,0,60238522,
2018,Gennaio,60483973,40539,69615,-29076,169823,163860,5963,0,60460860,
2018,Febbraio,60460860,33377,56783,-23406,145785,134560,11225,0,60448679,
2018,Marzo,60448679,34777,58593,-23816,151321,141522,9799,0,60434662,
2018,Aprile,60434662,31370,50030,-18660,129289,125878,3411,0,60419413,
2018,Maggio,60419413,36906,51225,-14319,157998,148997,9001,0,60414095,
2018,Giugno,60414095,34253,45460,-11207,137193,136941,252,0,60403140,
2018,Luglio,60403140,38554,47682,-9128,149120,143493,5627,0,60399639,
2018,Agosto,60399639,39917,50626,-10709,140409,132434,7975,0,60396905,
2018,Settembre,60396905,37084,45160,-8076,146192,142705,3487,0,60392316,
2018,Ottobre,60392316,41314,53796,-12482,182162,180165,1997,0,60381831,
2018,Novembre,60381831,37420,51150,-13730,159019,150712,8307,0,60376408,
2018,Dicembre,60376408,34236,53013,-18777,126789,124874,1915,0,60359546,
2017,Gennaio,60589445,39265,75623,-36358,147456,146234,1222,0,60554309,
2017,Febbraio,60554309,34690,58224,-23534,151034,138553,12481,0,60543256,
2017,Marzo,60543256,37914,58198,-20284,162140,150973,11167,0,60534139,
2017,Aprile,60534139,31228,47819,-16591,124050,114238,9812,0,60527360,
2017,Maggio,60527360,39834,54664,-14830,151666,146619,5047,0,60517577,
2017,Giugno,60517577,37055,48180,-11125,138458,137968,490,0,60506942,
2017,Luglio,60506942,39201,47421,-8220,143392,138425,4967,0,60503689,
2017,Agosto,60503689,41074,53539,-12465,141176,131526,9650,0,60500874,
2017,Settembre,60500874,39538,46570,-7032,154014,149990,4024,0,60497866,
2017,Ottobre,60497866,42927,52174,-9247,172435,161984,10451,0,60499070,
2017,Novembre,60499070,39313,52439,-13126,161146,151002,10144,0,60496088,
2017,Dicembre,60496088,36112,54210,-18098,130447,124464,5983,0,60483973,
